point_id,lon,lat,clay,sand,silt,phh2o,bdod,cec,nitrogen,ocd,soc
centroid,-57.0355,-25.6073,31.10,50.40,18.50,5.40,1.32,16.30,0.42,3.70,7.30
nw_high,-57.03844,-25.60542,30.90,51.40,17.70,5.30,1.32,16.80,0.41,4.20,8.80
ne_corner,-57.02928,-25.6094,33.10,47.50,19.40,5.40,1.33,22.00,0.57,3.40,8.50
sw_corner,-57.03781,-25.60748,31.50,50.50,17.90,5.40,1.31,15.60,0.44,4.20,6.60
se_corner,-57.03356,-25.61172,32.60,43.30,24.10,5.30,1.33,19.60,0.49,3.70,9.70
wes_pin,-57.03365,-25.61138,32.60,43.30,24.10,5.30,1.33,19.60,0.49,3.70,9.70
