point_id,lon,lat,clay,sand,silt,phh2o,bdod,cec,nitrogen,ocd,soc
centroid,-57.0355,-25.6073,19.50,60.10,20.30,5.40,1.19,19.40,3.03,40.60,36.40
nw_high,-57.03844,-25.60542,19.20,60.20,20.60,5.40,1.17,20.20,3.22,41.80,39.10
ne_corner,-57.02928,-25.6094,20.50,58.00,21.60,5.40,1.16,23.40,3.05,42.10,36.90
sw_corner,-57.03781,-25.60748,19.10,60.50,20.40,5.40,1.16,19.10,3.01,40.20,37.40
se_corner,-57.03356,-25.61172,19.30,52.50,28.30,5.40,1.20,20.60,3.12,39.80,38.00
wes_pin,-57.03365,-25.61138,19.30,52.50,28.30,5.40,1.20,20.60,3.12,39.80,38.00
