point_id,lon,lat,clay,sand,silt,phh2o,bdod,cec,nitrogen,ocd,soc
centroid,-57.0355,-25.6073,28.00,53.50,18.50,5.40,1.28,16.90,0.73,10.80,8.20
nw_high,-57.03844,-25.60542,27.20,54.00,18.80,5.30,1.29,17.30,0.71,12.00,11.30
ne_corner,-57.02928,-25.6094,28.60,51.00,20.40,5.40,1.26,23.10,0.84,10.60,10.30
sw_corner,-57.03781,-25.60748,27.50,53.50,19.10,5.40,1.27,16.20,0.70,11.10,8.10
se_corner,-57.03356,-25.61172,29.20,46.10,24.60,5.30,1.29,19.90,0.75,11.70,9.80
wes_pin,-57.03365,-25.61138,29.20,46.10,24.60,5.30,1.29,19.90,0.75,11.70,9.80
