point_id,lon,lat,clay,sand,silt,phh2o,bdod,cec,nitrogen,ocd,soc
centroid,-57.0355,-25.6073,29.90,51.30,18.80,5.40,1.31,17.00,0.50,6.40,6.70
nw_high,-57.03844,-25.60542,29.40,51.80,18.80,5.30,1.32,17.30,0.53,6.80,8.30
ne_corner,-57.02928,-25.6094,32.00,47.90,20.20,5.40,1.31,22.40,0.53,6.60,7.80
sw_corner,-57.03781,-25.60748,30.60,50.30,19.10,5.30,1.30,16.20,0.50,6.80,6.00
se_corner,-57.03356,-25.61172,30.80,44.40,24.80,5.30,1.32,19.50,0.52,6.30,8.40
wes_pin,-57.03365,-25.61138,30.80,44.40,24.80,5.30,1.32,19.50,0.52,6.30,8.40
