point_id,lon,lat,clay,sand,silt,phh2o,bdod,cec,nitrogen,ocd,soc
centroid,-57.0355,-25.6073,21.60,58.50,20.00,5.40,1.24,19.20,1.98,30.10,26.80
nw_high,-57.03844,-25.60542,20.90,59.00,20.10,5.40,1.23,19.20,2.05,32.00,29.40
ne_corner,-57.02928,-25.6094,23.00,55.80,21.20,5.40,1.21,24.60,2.10,30.90,27.50
sw_corner,-57.03781,-25.60748,21.50,58.70,19.80,5.40,1.22,18.30,1.96,32.00,26.30
se_corner,-57.03356,-25.61172,20.90,51.30,27.80,5.30,1.24,21.30,2.04,29.60,25.80
wes_pin,-57.03365,-25.61138,20.90,51.30,27.80,5.30,1.24,21.30,2.04,29.60,25.80
