granule,year,doy,date,centroid_ET,centroid_PET,centroid_LE,centroid_PLE,corner_NE_ET,corner_NE_PET,corner_NE_LE,corner_NE_PLE,corner_NW_ET,corner_NW_PET,corner_NW_LE,corner_NW_PLE,corner_SE_ET,corner_SE_PET,corner_SE_LE,corner_SE_PLE,corner_SW_ET,corner_SW_PET,corner_SW_LE,corner_SW_PLE,wesley_pin_ET,wesley_pin_PET,wesley_pin_LE,wesley_pin_PLE
MOD16A2.A2024169.h12v11.061.2024185001141.hdf,2024,169,2024-06-17,20.5,25.5,6260000,7790000,17.6,22.3,5390000,6810000,18.6,25.0,5670000,7640000,16.9,24.1,5170000,7350000,14.9,23.7,4560000,7240000,17.9,22.3,5450000,6820000
MOD16A2.A2024177.h12v11.061.2024195014102.hdf,2024,177,2024-06-25,16.8,22.7,5180000,6980000,18.2,21.1,5610000,6510000,15.5,22.2,4770000,6850000,14.8,21.3,4550000,6550000,12.2,20.7,3760000,6370000,15.5,19.8,4780000,6110000
MOD16A2.A2024185.h12v11.061.2024201001430.hdf,2024,185,2024-07-03,11.8,20.7,3640000,6370000,15.1,19.3,4650000,5940000,11.2,20.6,3460000,6350000,12.8,20.1,3930000,6180000,10.1,19.8,3100000,6110000,8.5,18.3,2620000,5640000
MOD16A2.A2024193.h12v11.061.2024210211604.hdf,2024,193,2024-07-11,15.8,22.6,4880000,6960000,16.5,20.7,5070000,6390000,13.6,21.4,4190000,6590000,13.8,20.8,4270000,6420000,11.4,19.9,3520000,6130000,14.6,19.8,4510000,6090000
MOD16A2.A2024201.h12v11.061.2024221172916.hdf,2024,201,2024-07-19,23.4,29.2,7160000,8930000,23.8,27.5,7280000,8400000,15.7,28.6,4820000,8740000,13.7,27.6,4190000,8440000,13.2,27.8,4030000,8510000,21.4,26.8,6540000,8180000
MOD16A2.A2024209.h12v11.061.2024227213400.hdf,2024,209,2024-07-27,13.9,26.4,4250000,8080000,18.8,23.8,5740000,7270000,15.4,26.3,4720000,8060000,15.3,25.4,4680000,7780000,13.8,25.7,4220000,7870000,18.8,23.7,5750000,7240000
MOD16A2.A2024217.h12v11.061.2024234165629.hdf,2024,217,2024-08-04,12.4,25.6,3810000,7870000,19.0,23.3,5830000,7170000,12.4,25.6,3800000,7880000,14.1,24.7,4330000,7600000,10.4,25.5,3200000,7840000,17.9,23.1,5490000,7100000
MOD16A2.A2024225.h12v11.061.2024241164432.hdf,2024,225,2024-08-12,14.7,32.7,4490000,9990000,21.6,30.2,6600000,9240000,15.4,32.5,4720000,9940000,16.3,30.7,4970000,9400000,10.9,33.8,3320000,10330000,21.9,30.0,6690000,9170000
MOD16A2.A2024233.h12v11.061.2024249201139.hdf,2024,233,2024-08-20,15.6,30.1,4800000,9250000,16.4,27.8,5040000,8530000,14.8,30.0,4550000,9200000,13.9,29.1,4250000,8920000,11.2,29.0,3450000,8920000,20.4,28.3,6270000,8700000
MOD16A2.A2024241.h12v11.061.2024258040122.hdf,2024,241,2024-08-28,24.1,29.4,7380000,8990000,22.6,26.3,6900000,8050000,16.5,29.1,5060000,8920000,14.8,28.6,4530000,8760000,13.1,28.8,4030000,8810000,23.1,26.4,7080000,8080000
MOD16A2.A2024249.h12v11.061.2024267221727.hdf,2024,249,2024-09-05,17.8,35.4,5420000,10810000,24.3,32.0,7400000,9750000,18.5,35.1,5640000,10710000,14.4,35.4,4390000,10790000,11.6,36.7,3530000,11190000,25.3,31.7,7730000,9660000
MOD16A2.A2024257.h12v11.061.2024275135435.hdf,2024,257,2024-09-13,26.9,39.0,8220000,11920000,28.3,36.7,8650000,11210000,28.9,39.1,8840000,11950000,26.5,37.8,8110000,11560000,23.6,37.7,7200000,11500000,29.2,36.5,8930000,11140000
MOD16A2.A2024265.h12v11.061.2024284095816.hdf,2024,265,2024-09-21,24.1,42.2,7350000,12850000,30.3,40.3,9220000,12280000,22.7,41.9,6930000,12770000,24.0,41.2,7320000,12550000,17.5,41.4,5320000,12590000,30.9,40.0,9420000,12160000
MOD16A2.A2024273.h12v11.061.2024289184256.hdf,2024,273,2024-09-29,16.4,41.2,4990000,12540000,27.7,38.5,8430000,11740000,17.4,40.8,5320000,12440000,18.1,40.0,5520000,12200000,14.2,40.9,4330000,12470000,27.6,38.2,8410000,11630000
MOD16A2.A2024281.h12v11.061.2024297210041.hdf,2024,281,2024-10-07,29.4,41.5,8970000,12670000,27.8,37.0,8470000,11270000,25.2,40.0,7710000,12210000,25.8,39.0,7870000,11900000,18.0,37.4,5510000,11400000,27.1,36.6,8270000,11150000
MOD16A2.A2024289.h12v11.061.2024305050032.hdf,2024,289,2024-10-15,24.7,44.7,7520000,13610000,34.3,45.6,10450000,13880000,25.6,45.2,7800000,13760000,27.0,44.9,8230000,13690000,24.0,43.9,7320000,13360000,35.4,45.7,10790000,13930000
MOD16A2.A2024297.h12v11.061.2024312232801.hdf,2024,297,2024-10-23,45.8,61.0,13960000,18550000,43.8,58.5,13330000,17790000,40.7,60.6,12380000,18450000,39.2,59.3,11930000,18040000,26.8,58.8,8150000,17910000,43.6,57.8,13270000,17580000
MOD16A2.A2024305.h12v11.061.2024325213309.hdf,2024,305,2024-10-31,41.8,57.4,12710000,17470000,40.3,52.9,12260000,16100000,35.4,55.9,10770000,17000000,29.8,53.9,9070000,16400000,27.3,53.5,8320000,16280000,40.8,52.9,12400000,16070000
MOD16A2.A2024313.h12v11.061.2024328225111.hdf,2024,313,2024-11-08,56.3,68.6,17150000,20890000,45.6,66.1,13890000,20150000,35.8,67.0,10910000,20400000,35.0,66.0,10660000,20110000,28.1,66.0,8570000,20110000,45.6,65.8,13880000,20040000
MOD16A2.A2024321.h12v11.061.2024337201136.hdf,2024,321,2024-11-16,20.2,58.5,6150000,17760000,36.2,58.2,11000000,17640000,21.2,58.7,6430000,17790000,16.7,58.0,5060000,17600000,13.8,58.0,4190000,17590000,36.5,57.5,11070000,17450000
MOD16A2.A2024329.h12v11.061.2024344222404.hdf,2024,329,2024-11-24,31.5,57.8,9580000,17530000,32.0,53.6,9710000,16240000,24.3,55.5,7390000,16840000,20.5,54.1,6240000,16400000,16.2,53.7,4910000,16270000,31.7,52.9,9620000,16040000
MOD16A2.A2024337.h12v11.061.2024352223154.hdf,2024,337,2024-12-02,49.4,59.8,15080000,18220000,39.4,51.7,12030000,15770000,36.0,53.8,11000000,16390000,33.4,51.9,10180000,15830000,26.8,50.1,8170000,15280000,39.5,51.3,12030000,15650000
MOD16A2.A2024345.h12v11.061.2024365215200.hdf,2024,345,2024-12-10,54.2,69.9,16530000,21340000,42.0,60.8,12830000,18570000,52.2,69.1,15920000,21070000,42.8,64.0,13050000,19540000,33.9,60.8,10350000,18560000,44.7,61.3,13630000,18710000
MOD16A2.A2024353.h12v11.061.2025003012622.hdf,2024,353,2024-12-18,57.2,71.8,17440000,21880000,46.1,64.8,14060000,19730000,49.3,69.1,15020000,21070000,42.2,66.3,12880000,20220000,25.7,62.3,7850000,18980000,47.1,64.5,14360000,19660000
MOD16A2.A2024361.h12v11.061.2025009021013.hdf,2024,361,2024-12-26,42.9,53.0,17450000,21530000,37.2,50.1,15120000,20340000,35.5,51.5,14420000,20950000,28.7,49.8,11660000,20240000,20.9,48.9,8490000,19860000,36.0,49.5,14620000,20120000
