id,type,source,license,size_mb,files,resolution_hint,integration_target,lqv_use_score,notes
Bricks052,texture,ambientcg.com,CC0 1.0 Universal,232.1,AmbientOcclusion|Color|Displacement|Roughness,?,unclassified,1,
Bricks066,texture,ambientcg.com,CC0 1.0 Universal,233.9,AmbientOcclusion|Color|Displacement|Roughness,?,unclassified,1,
Bricks077,texture,ambientcg.com,CC0 1.0 Universal,105.4,AmbientOcclusion|Color|Displacement|Roughness,?,unclassified,1,
Concrete002,texture,ambientcg.com,CC0 1.0 Universal,31.8,Color|Displacement|Roughness,?,unclassified,1,
Concrete003,texture,ambientcg.com,CC0 1.0 Universal,165.3,AmbientOcclusion|Color|Displacement|Roughness,?,unclassified,1,
Concrete007,texture,ambientcg.com,CC0 1.0 Universal,157.1,AmbientOcclusion|Color|Displacement|Roughness,?,unclassified,1,
Concrete017,texture,ambientcg.com,CC0 1.0 Universal,195.3,Color|Displacement|Roughness,?,unclassified,1,
Concrete023,texture,ambientcg.com,CC0 1.0 Universal,230.0,Color|Displacement|Roughness,?,unclassified,1,
Ground003,texture,ambientcg.com,CC0 1.0 Universal,215.8,Color|Displacement|Roughness,?,unclassified,1,
Ground023,texture,ambientcg.com,CC0 1.0 Universal,211.8,AmbientOcclusion|Color|Displacement|Roughness,?,unclassified,1,
Ground027,texture,ambientcg.com,CC0 1.0 Universal,182.9,AmbientOcclusion|Color|Displacement|Roughness,?,unclassified,1,
Ground029,texture,ambientcg.com,CC0 1.0 Universal,204.9,AmbientOcclusion|Color|Displacement|Roughness,?,unclassified,1,
Ground033,texture,ambientcg.com,CC0 1.0 Universal,229.5,AmbientOcclusion|Color|Displacement|Roughness,?,unclassified,1,
Ground036,texture,ambientcg.com,CC0 1.0 Universal,243.9,AmbientOcclusion|Color|Displacement|Roughness,?,unclassified,1,
Ground037,texture,ambientcg.com,CC0 1.0 Universal,266.4,AmbientOcclusion|Color|Displacement|Roughness,?,unclassified,1,
Ground039,texture,ambientcg.com,CC0 1.0 Universal,238.1,AmbientOcclusion|Color|Displacement|Roughness,?,unclassified,1,
Ground047,texture,ambientcg.com,CC0 1.0 Universal,268.2,AmbientOcclusion|Color|Displacement|Roughness,?,unclassified,1,
Ground048,texture,ambientcg.com,CC0 1.0 Universal,278.4,AmbientOcclusion|Color|Displacement|Roughness,?,unclassified,1,
Ground054,texture,ambientcg.com,CC0 1.0 Universal,256.1,AmbientOcclusion|Color|Displacement|Roughness,?,unclassified,1,
Ground055S,texture,ambientcg.com,CC0 1.0 Universal,219.8,AmbientOcclusion|Color|Displacement|Roughness,?,unclassified,1,
Ground061,texture,ambientcg.com,CC0 1.0 Universal,102.7,AmbientOcclusion|Color|Displacement|Roughness,?,unclassified,1,
Ground067,texture,ambientcg.com,CC0 1.0 Universal,262.0,AmbientOcclusion|Color|Displacement|Roughness,?,unclassified,1,
Ground068,texture,ambientcg.com,CC0 1.0 Universal,237.0,AmbientOcclusion|Color|Displacement|Roughness,?,unclassified,1,
Ground074,texture,ambientcg.com,CC0 1.0 Universal,242.4,AmbientOcclusion|Color|Displacement|Roughness,?,unclassified,1,
Metal003,texture,ambientcg.com,CC0 1.0 Universal,148.0,Color|Displacement|Roughness,?,unclassified,1,
Metal007,texture,ambientcg.com,CC0 1.0 Universal,139.5,Color|Displacement|Roughness,?,unclassified,1,
Metal009,texture,ambientcg.com,CC0 1.0 Universal,133.6,Color|Displacement|Roughness,?,unclassified,1,
Metal027,texture,ambientcg.com,CC0 1.0 Universal,191.5,Color|Displacement|Roughness,?,unclassified,1,
Metal028,texture,ambientcg.com,CC0 1.0 Universal,196.5,Color|Displacement|Roughness,?,unclassified,1,
Metal029,texture,ambientcg.com,CC0 1.0 Universal,178.6,Color|Displacement|Roughness,?,unclassified,1,
Metal030,texture,ambientcg.com,CC0 1.0 Universal,128.7,Color|Displacement|Roughness,?,unclassified,1,
Metal031,texture,ambientcg.com,CC0 1.0 Universal,120.2,Color|Displacement|Roughness,?,unclassified,1,
Metal032,texture,ambientcg.com,CC0 1.0 Universal,140.5,Color|Displacement|Roughness,?,unclassified,1,
Metal033,texture,ambientcg.com,CC0 1.0 Universal,148.5,Color|Displacement|Roughness,?,unclassified,1,
Metal034,texture,ambientcg.com,CC0 1.0 Universal,66.5,Color|Displacement|Roughness,?,unclassified,1,
Metal035,texture,ambientcg.com,CC0 1.0 Universal,103.7,Color|Displacement|Roughness,?,unclassified,1,
Metal036,texture,ambientcg.com,CC0 1.0 Universal,101.9,Color|Displacement|Roughness,?,unclassified,1,
Metal038,texture,ambientcg.com,CC0 1.0 Universal,139.8,Color|Displacement|Roughness,?,unclassified,1,
Plaster001,texture,ambientcg.com,CC0 1.0 Universal,191.7,Color|Displacement|Roughness,?,unclassified,1,
Plaster002,texture,ambientcg.com,CC0 1.0 Universal,190.9,Color|Displacement|Roughness,?,unclassified,1,
Plaster003,texture,ambientcg.com,CC0 1.0 Universal,205.9,Color|Displacement|Roughness,?,unclassified,1,
Plaster004,texture,ambientcg.com,CC0 1.0 Universal,207.6,Color|Displacement|Roughness,?,unclassified,1,
Plaster005,texture,ambientcg.com,CC0 1.0 Universal,202.6,Color|Displacement|Roughness,?,unclassified,1,
Plaster006,texture,ambientcg.com,CC0 1.0 Universal,202.2,Color|Displacement|Roughness,?,unclassified,1,
Plaster007,texture,ambientcg.com,CC0 1.0 Universal,194.7,AmbientOcclusion|Color|Displacement|Roughness,?,unclassified,1,
Rocks001,texture,ambientcg.com,CC0 1.0 Universal,149.8,AmbientOcclusion|Color|Displacement|Roughness,?,unclassified,1,
