source,class,order,family,genus,scientificName,vernacularName,occurrenceCount,iucnRedListCategory
GBIF,Aves,Passeriformes,Tyrannidae,Leptopogon,Leptopogon amaurocephalus,Mosquerito Gorrisepia,89,
GBIF,Aves,Falconiformes,Falconidae,Falco,Falco sparverius,Cernícalo,88,
GBIF,Aves,Passeriformes,Furnariidae,Synallaxis,Synallaxis frontalis,Pijuí frente gris,87,
GBIF,Aves,Columbiformes,Columbidae,Patagioenas,Patagioenas picazuro,Paloma de monte,87,
GBIF,Aves,Passeriformes,Cotingidae,Pachyramphus,Pachyramphus validus,Anambé grande,87,
GBIF,Aves,Tinamiformes,Tinamidae,Nothura,Nothura maculosa,Inambú campestre,84,
GBIF,Aves,Passeriformes,Tyrannidae,Xolmis,Xolmis irupero,Monjita blanca,84,
GBIF,Aves,Piciformes,Picidae,Celeus,Celeus lugubris,Carpintero copete pajizo,80,
GBIF,Aves,Passeriformes,Tyrannidae,Tyrannus,Tyrannus savana,Tijereta Sabanera,78,
GBIF,Aves,Psittaciformes,Psittacidae,Forpus,Forpus xanthopterygius,Catita enana,75,
GBIF,Aves,Passeriformes,Thraupidae,Conirostrum,Conirostrum speciosum,Conirrostro culirrufo,75,
GBIF,Aves,Passeriformes,Hirundinidae,Progne,Progne chalybea,Golondrina Pecho Gris,72,
GBIF,Aves,Passeriformes,Parulidae,Setophaga,Setophaga pitiayumi,Chipe Tropical,72,
GBIF,Aves,Passeriformes,Thraupidae,Hemithraupis,Hemithraupis guira,Pintasilgo güira,69,
GBIF,Aves,Nyctibiiformes,Nyctibiidae,Nyctibius,Nyctibius griseus,Bienparado común,67,
GBIF,Aves,Coraciiformes,Momotidae,Baryphthengus,Baryphthengus ruficapillus,Momoto yeruvá oriental,65,
GBIF,Aves,Passeriformes,Tyrannidae,Myiarchus,Myiarchus tyrannulus,Burlisto cola castaña,65,
GBIF,Aves,Passeriformes,Hirundinidae,Progne,Progne tapera,Golondrina parda,65,
GBIF,Aves,Columbiformes,Columbidae,Zenaida,Zenaida auriculata,"""Tórtola Orejuda, Paloma Sabanera """,65,
GBIF,Aves,Apodiformes,Trochilidae,Hylocharis,Hylocharis chrysura,Picaflor bronceado,65,
GBIF,Aves,Passeriformes,Passerellidae,Ammodramus,Ammodramus humeralis,Cachilo ceja amarilla,63,
GBIF,Aves,Passeriformes,Parulidae,Myiothlypis,Myiothlypis flaveola,Arañero pico pálido,63,
GBIF,Aves,Apodiformes,Trochilidae,Thalurania,Thalurania furcata,Ninfa Tijereta,61,
GBIF,Aves,Tinamiformes,Tinamidae,Crypturellus,Crypturellus parvirostris,Perdiz de Pico Corto,58,
GBIF,Aves,Passeriformes,Icteridae,Pseudoleistes,Pseudoleistes guirahuro,Canario de la Sierra,57,
GBIF,Aves,Charadriiformes,Jacanidae,Jacana,Jacana jacana,Gallito de Agua de Frente Roja,56,
GBIF,Aves,Passeriformes,Thraupidae,Dacnis,Dacnis cayana,Dacnis Azul,56,
GBIF,Aves,Strigiformes,Strigidae,Athene,Athene cunicularia,Búho Terrestre,56,
GBIF,Aves,Piciformes,Picidae,Picumnus,Picumnus cirratus,Carpinterito barrado,56,
GBIF,Aves,Passeriformes,Tyrannidae,Lathrotriccus,Lathrotriccus euleri,Mosquerito de Euler,54,
GBIF,Aves,Gruiformes,Rallidae,Aramides,Aramides ypecaha,Cotara ipacaá,52,
GBIF,Aves,Passeriformes,Furnariidae,Lochmias,Lochmias nematura,Macuquito,52,
GBIF,Aves,Passeriformes,Thraupidae,Tersina,Tersina viridis,Tangara golondrina,51,
GBIF,Aves,Passeriformes,Thraupidae,Nemosia,Nemosia pileata,Frutero cabeza negra,50,
GBIF,Aves,Passeriformes,Thamnophilidae,Thamnophilus,Thamnophilus caerulescens,Batará plomizo,49,
GBIF,Aves,Passeriformes,Furnariidae,Schoeniophylax,Schoeniophylax phryganophilus,Pijuí chotoy,48,
GBIF,Aves,Columbiformes,Columbidae,Columbina,Columbina squammata,Torcacita escamada,48,
GBIF,Aves,Apodiformes,Apodidae,Chaetura,Chaetura meridionalis,Vencejo de Tormenta,48,
GBIF,Aves,Passeriformes,Tyrannidae,Elaenia,Elaenia spectabilis,Elenia Tribandeada,44,
GBIF,Aves,Gruiformes,Rallidae,Aramides,Aramides cajanea,Cotara chiricote,43,
GBIF,Mammalia,Rodentia,Cricetidae,Sooretamys,Sooretamys angouya,Colilargo paraguayo,31,
GBIF,Mammalia,Chiroptera,Phyllostomidae,Desmodus,Desmodus rotundus,Desmodus rotundus,28,
GBIF,Mammalia,Rodentia,Cricetidae,Nectomys,Nectomys squamipes,Atlantic Forest Nectomys,27,
GBIF,Mammalia,Chiroptera,Molossidae,Molossus,Molossus rufus,Moloso cola gruesa grande,27,
GBIF,Mammalia,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Murciélago cola corta de Sebas,25,
GBIF,Mammalia,Chiroptera,Phyllostomidae,Artibeus,Artibeus lituratus,Murciélago frugívoro común,23,
