latitude,longitude,ground_elevation_m,canopy_height_m,sensitivity,beam,granule,granule_time_start
-25.632287996496135,-57.023929907761996,4868.539,0.0,1.8841774,BEAM0101,GEDI02_A_2024244132446_O32393_04_T04229_02_004_04_V002.h5,2024-08-31T13:24:46.000Z
-25.632216360145538,-57.033480128138855,2749.9475,0.0,12.06539,BEAM0000,GEDI02_A_2021354191807_O17120_04_T07075_02_003_02_V002.h5,2021-12-20T19:18:07.000Z
-25.632115914090953,-57.042019417198624,5289.0864,1.5708008,0.96722823,BEAM0001,GEDI02_A_2021088044333_O12988_04_T07075_02_003_02_V002.h5,2021-03-29T04:43:33.000Z
-25.632101323179974,-57.04013682584249,151.60657,32.396652,0.96583194,BEAM0011,GEDI02_A_2022340103703_O22558_01_T02231_02_003_02_V002.h5,2022-12-06T10:37:03.000Z
-25.63205777351918,-57.04373420628788,4696.6665,38.953125,0.98303753,BEAM1000,GEDI02_A_2024244132446_O32393_04_T04229_02_004_04_V002.h5,2024-08-31T13:24:46.000Z
-25.63197465860704,-57.03743995418067,1230.6974,35.374146,0.97325706,BEAM1011,GEDI02_A_2022222092210_O20727_01_T09193_02_003_02_V002.h5,2022-08-10T09:22:10.000Z
-25.631905849026776,-57.032252266535856,4723.715,23.66748,0.95681924,BEAM0110,GEDI02_A_2024244132446_O32393_04_T04229_02_004_04_V002.h5,2024-08-31T13:24:46.000Z
-25.631900730520492,-57.02429974230005,4869.1543,0.0,7.0258665,BEAM0101,GEDI02_A_2024244132446_O32393_04_T04229_02_004_04_V002.h5,2024-08-31T13:24:46.000Z
-25.63173328079625,-57.01840237541007,157.41858,10.818924,0.9143303,BEAM0010,GEDI02_A_2020124150548_O07879_04_T04229_02_003_01_V002.h5,2020-05-03T15:05:48.000Z
-25.631726334023774,-57.04239151057598,5291.41,0.2993164,0.95138574,BEAM0001,GEDI02_A_2021088044333_O12988_04_T07075_02_003_02_V002.h5,2021-03-29T04:43:33.000Z
-25.631573426332924,-57.037061341166286,1250.9696,36.157104,0.9709746,BEAM1011,GEDI02_A_2022222092210_O20727_01_T09193_02_003_02_V002.h5,2022-08-10T09:22:10.000Z
-25.63155018113816,-57.034591869692484,5298.086,0.37402344,0.92354393,BEAM0000,GEDI02_A_2021088044333_O12988_04_T07075_02_003_02_V002.h5,2021-03-29T04:43:33.000Z
-25.631528295395842,-57.02645767750765,144.51266,20.192856,0.98676103,BEAM1000,GEDI02_A_2020296185923_O10548_04_T09921_02_003_02_V002.h5,2020-10-22T18:59:23.000Z
-25.631440479876492,-57.03422253234806,2749.6763,0.0,11.41044,BEAM0000,GEDI02_A_2021354191807_O17120_04_T07075_02_003_02_V002.h5,2021-12-20T19:18:07.000Z
