latitude,longitude,ground_elevation_m,canopy_height_m,sensitivity,beam,granule,granule_time_start,dem_elev_m,elev_highestreturn_m,canopy_from_dem_m,canopy_height_m_final
-25.64453782998275,-57.02243082553076,218.24924,0.0,3.1866608,BEAM0000,GEDI02_A_2025156231012_O36711_04_T07075_02_004_02_V002.h5,2025-06-05T23:10:12.000Z,134.0,218.24924,80.0,80.0
-25.644148714916664,-57.02280306108632,217.69455,0.0,2.2976618,BEAM0000,GEDI02_A_2025156231012_O36711_04_T07075_02_004_02_V002.h5,2025-06-05T23:10:12.000Z,134.0,217.69455,80.0,80.0
-25.64375984527933,-57.02317517234889,217.59517,0.0,3.6731913,BEAM0000,GEDI02_A_2025156231012_O36711_04_T07075_02_004_02_V002.h5,2025-06-05T23:10:12.000Z,135.0,217.59517,80.0,80.0
-25.643371467287757,-57.02354699480112,218.40714,0.0,2.8335602,BEAM0000,GEDI02_A_2025156231012_O36711_04_T07075_02_004_02_V002.h5,2025-06-05T23:10:12.000Z,135.0,218.40714,80.0,80.0
-25.64259384229999,-57.02429135296143,218.44487,0.0,19.944592,BEAM0000,GEDI02_A_2025156231012_O36711_04_T07075_02_004_02_V002.h5,2025-06-05T23:10:12.000Z,135.0,218.44487,80.0,80.0
-25.641427005530204,-57.025408496195794,217.83295,0.0,2.683142,BEAM0000,GEDI02_A_2025156231012_O36711_04_T07075_02_004_02_V002.h5,2025-06-05T23:10:12.000Z,136.0,217.83295,80.0,80.0
-25.641182203956607,-57.03916113673627,207.9618,0.0,4.003645,BEAM0010,GEDI02_A_2025156231012_O36711_04_T07075_02_004_02_V002.h5,2025-06-05T23:10:12.000Z,135.0,207.9618,72.96180000000001,72.96180000000001
-25.64103786765685,-57.025781100521,217.29868,0.0,5.468477,BEAM0000,GEDI02_A_2025156231012_O36711_04_T07075_02_004_02_V002.h5,2025-06-05T23:10:12.000Z,134.0,217.29868,80.0,80.0
-25.640649210738054,-57.02615342885506,217.66605,0.0,2.5434382,BEAM0000,GEDI02_A_2025156231012_O36711_04_T07075_02_004_02_V002.h5,2025-06-05T23:10:12.000Z,131.0,217.66605,80.0,80.0
-25.63923782851843,-57.04101954680674,206.00325,0.0,4.864746,BEAM0010,GEDI02_A_2025156231012_O36711_04_T07075_02_004_02_V002.h5,2025-06-05T23:10:12.000Z,145.0,206.00325,61.00325000000001,61.00325000000001
