binomial,family,scientific_name_full,life_form,af_status,n_records_af,ornamental_or_cultivated,endemism_level_pct,endemism_group,endemism_bf2020,records_inside_af,records_outside_af,py_threat_category,ar_threat_category,ar_endemic_category,uses,is_timber,lqv_25km_documented,lqv_25km_sources,lqv_25km_occurrences,lqv_vernacular,lqv_iucn
Kielmeyera marauensis,Calophyllaceae,Kielmeyera marauensis Saddi,tree,confirmed,20,NA,100.0,pure_endemic,Endemic,19,0,,,,,,,,,,
Kielmeyera membranacea,Calophyllaceae,Kielmeyera membranacea Casar.,tree,confirmed,101,NA,100.0,pure_endemic,Endemic,93,0,,,,,,,,,,
Kielmeyera neglecta,Calophyllaceae,Kielmeyera neglecta Saddi,tree,confirmed,58,NA,96.2,near_endemic,Endemic,36,1,,,,,,,,,,
Kielmeyera neriifolia,Calophyllaceae,Kielmeyera neriifolia Cambess.,shrub,new to AF,39,NA,14.29,widespread,Not in the AF,1,19,,,,,,,,,,
Kielmeyera occhioniana,Calophyllaceae,Kielmeyera occhioniana Saddi,tree,confirmed,10,NA,100.0,pure_endemic,Endemic,10,0,,,,,,,,,,
Kielmeyera petiolaris,Calophyllaceae,Kielmeyera petiolaris Mart. & Zucc.,tree,new to AF,166,NA,9.64,occasional,Not in the AF,6,66,,,,,,,,,,
Kielmeyera reticulata,Calophyllaceae,Kielmeyera reticulata Saddi,shrub,confirmed,58,NA,98.99,near_endemic,Endemic,53,0,,,,,,,,,,
Kielmeyera rizziniana,Calophyllaceae,Kielmeyera rizziniana Saddi,tree,confirmed,33,NA,100.0,pure_endemic,Endemic,27,0,,,,,,,,,,
Kielmeyera rosea,Calophyllaceae,Kielmeyera rosea Mart. & Zucc.,shrub,new to AF,44,NA,13.51,widespread,Not in the AF,5,19,,,,,,,,,,
Kielmeyera rubriflora,Calophyllaceae,Kielmeyera rubriflora Cambess.,tree,new to AF,362,NA,2.13,occasional,Not in the AF,4,296,,,,,,,,,,
Kielmeyera rufotomentosa,Calophyllaceae,Kielmeyera rufotomentosa Saddi,tree,confirmed,13,NA,100.0,pure_endemic,Endemic,13,0,,,,,,,,,,
Kielmeyera rugosa,Calophyllaceae,Kielmeyera rugosa Choisy,tree,confirmed,43,NA,83.33,widespread,Endemic,27,3,,,,,,,,,,
Kielmeyera rupestris,Calophyllaceae,Kielmeyera rupestris Duarte,tree,confirmed,7,NA,100.0,pure_endemic,Endemic,7,0,,,,,,,,,,
