binomial,family,scientific_name_full,life_form,af_status,n_records_af,ornamental_or_cultivated,endemism_level_pct,endemism_group,endemism_bf2020,records_inside_af,records_outside_af,py_threat_category,ar_threat_category,ar_endemic_category,uses,is_timber,lqv_25km_documented,lqv_25km_sources,lqv_25km_occurrences,lqv_vernacular,lqv_iucn
Abarema auriculata,Fabaceae,Abarema auriculata (Benth.) Barneby & J.W.Grimes,tree,new to AF,87,NA,2.7,occasional,Not in the AF,2,74,,,,,,,,,,
Abarema barnebyana,Fabaceae,Abarema barnebyana Iganci & M.P.Morim,tree,confirmed,14,NA,100.0,pure_endemic,Endemic,14,0,,,,,,,,,,
Abarema brachystachya,Fabaceae,Abarema brachystachya (DC.) Barneby & J.W.Grimes,tree,confirmed,265,NA,95.41,near_endemic,Endemic,227,9,,,,,,,,,,
Abarema cochleata,Fabaceae,Abarema cochleata (Willd.) Barneby & J.W.Grimes,tree,new to AF,138,NA,0.79,occasional,Not in the AF,1,131,,,,,,,,,,
Abarema cochliacarpos,Fabaceae,Abarema cochliacarpos (Gomes) Barneby & J.W.Grimes,tree,confirmed,321,NA,86.58,widespread,Not endemic,204,11,,,,,,,,,,
Abarema filamentosa,Fabaceae,Abarema filamentosa (Benth.) Pittier,tree,confirmed,268,NA,99.39,near_endemic,Endemic,246,1,,,,,,,,,,
Abarema jupunba,Fabaceae,Abarema jupunba (Willd.) Britton & Killip,tree,confirmed,626,NA,9.39,occasional,Not endemic,35,363,,,,,,,,,,
Abarema laeta,Fabaceae,Abarema laeta (Benth.) Barneby & J.W.Grimes,tree,new to AF,165,NA,0.93,occasional,Not in the AF,1,110,,,,,,,,,,
Abarema langsdorffii,Fabaceae,Abarema langsdorffii (Benth.) Barneby & J.W.Grimes,tree,confirmed,242,NA,100.0,pure_endemic,Not endemic,223,0,,,,,,,,,,
Abarema limae,Fabaceae,Abarema limae Iganci & M.P.Morim,tree,confirmed,15,NA,100.0,pure_endemic,Endemic,15,0,,,,,,,,,,
Abarema turbinata,Fabaceae,Abarema turbinata (Benth.) Barneby & J.W.Grimes,tree,confirmed,47,NA,100.0,pure_endemic,Endemic,42,0,,,,,,,,,,
Abarema villosa,Fabaceae,Abarema villosa Iganci & M.P.Morim,tree,confirmed,37,NA,48.28,widespread,Not endemic,12,12,,,,,,,,,,
Abatia americana,Salicaceae,Abatia americana (Gardner) Eichler,shrub,confirmed,115,NA,99.05,near_endemic,Not endemic,85,0,,,,,,,,,,
Abutilon grandifolium,Malvaceae,Abutilon grandifolium (Willd.) Sweet,shrub,confirmed,170,NA,4.26,occasional,Endemic,7,125,,,,,,yes,iNat,1,hairy abutilon,
Abutilon ramiflorum,Malvaceae,Abutilon ramiflorum A.St.-Hil.,shrub,confirmed,93,NA,14.15,widespread,Not endemic,18,54,,,,,,,,,,
Acaena myriophylla,,Acaena myriophylla,,in AR list but not in AF checklist,0,,,,,,,,,cat1: Plantas muy abundantes en los lugares de origen y con amplia distribución ,,,,,,,
Acalypha brasiliensis,Euphorbiaceae,Acalypha brasiliensis Mull.Arg.,shrub,confirmed,367,NA,86.29,widespread,Not endemic,257,42,,,,,,,,,,
Acalypha communis,Euphorbiaceae,Acalypha communis Mull.Arg.,shrub,confirmed,442,NA,25.5,widespread,Not endemic,122,189,,,,,,yes,GBIF,25,akalyfa bežná,
Acalypha cuneata,Euphorbiaceae,Acalypha cuneata Poepp.,tree,confirmed,729,NA,3.48,occasional,Not endemic,17,429,,,,,,,,,,
Acalypha diversifolia,Euphorbiaceae,Acalypha diversifolia Jacq.,tree,new to AF,2515,NA,1.04,occasional,Not in the AF,15,1671,,,,,,,,,,
Acalypha gracilis,Euphorbiaceae,Acalypha gracilis Spreng.,shrub,confirmed,313,NA,83.77,widespread,Not endemic,238,38,,,,,,,,,,
Acalypha macrostachya,Euphorbiaceae,Acalypha macrostachya Jacq.,tree,new to AF,1845,NA,0.37,occasional,Not in the AF,5,1196,,,,,,,,,,
Acalypha multicaulis,Euphorbiaceae,Acalypha multicaulis Mull.Arg.,shrub,confirmed,250,NA,27.51,widespread,Not endemic,58,129,,,,,,,,,,
Acalypha villosa,Euphorbiaceae,Acalypha villosa Jacq.,tree,new to AF,882,NA,3.28,occasional,Not in the AF,19,612,,,,,,,,,,
Acanthocladus brasiliensis,Polygalaceae,Acanthocladus brasiliensis (Klotzsch ex A.St.-Hil. & Moq.) Hassk.,shrub,confirmed,82,NA,94.55,near_endemic,Endemic,64,4,,,,,,,,,,
Acanthocladus dichromus,Polygalaceae,Acanthocladus dichromus (Steud.) J.F.B.Pastore,tree,new to AF,52,NA,29.51,widespread,Not in the AF,12,23,,,,,,,,,,
Acanthocladus pulcherrimus,Polygalaceae,Acanthocladus pulcherrimus (Kuhlm.) J.F.B.Pastore & D.B.O.S.Cardoso,tree,confirmed,25,NA,100.0,pure_endemic,Endemic,23,0,,,,,,,,,,
Acanthocladus santosii,Polygalaceae,Acanthocladus santosii (Wurdack) J.F.B.Pastore & D.B.O.S.Cardoso,tree,confirmed,9,NA,100.0,pure_endemic,Endemic,9,0,,,,,,,,,,
Acantholippia seriphioides,,Acantholippia seriphioides,,in AR list but not in AF checklist,0,,,,,,,,,"cat2: Plantas abundantes, presentes en sólo una de las grandes unidades fitogeog",,,,,,,
Acanthostachys strobilacea,,Acanthostachys strobilacea,,in PY threat list but not in AF checklist,0,,,,,,,amenazada,,,,,,,,,
Acanthosyris paulo-alvinii,Santalaceae,Acanthosyris paulo-alvinii G.M. Barroso,tree,new to AF,3,NA,100.0,pure_endemic,Not in the AF,3,0,,,,,,,,,,
Acanthosyris spinescens,Santalaceae,Acanthosyris spinescens (Mart. & Eichler) Griseb.,tree,probable occurrence in the AF,22,,,,,,,,,,,,,,,,
Acca sellowiana,Myrtaceae,Acca sellowiana (O.Berg) Burret,tree,confirmed,150,cultivated,87.04,widespread,Not endemic,108,15,,,,,,,,,,
Accara elegans,Myrtaceae,Accara elegans (DC.) Landrum,shrub,confirmed,74,NA,76.14,widespread,Not endemic,33,5,,,,,,,,,,
Achatocarpus hasslerianus,Achatocarpaceae,Achatocarpus hasslerianus Heimerl,tree,not in the BF.2020,1,NA,100.0,pure_endemic,NA,1,0,,,,,,,,,,
Achatocarpus praecox,Achatocarpaceae,Achatocarpus praecox Griseb.,tree,probable occurrence in the AF,89,,,,,,,,,,,,,,,,
Achyrocline alata,,Achyrocline alata,,in PY threat list but not in AF checklist,0,,,,,,,amenazada,,,,,,,,,
Acnistus arborescens,Solanaceae,Acnistus arborescens (L.) Schltdl.,tree,confirmed,603,NA,51.24,widespread,Endemic,209,188,,,,,,,,,,
Acosmium diffusissimum,Fabaceae,Acosmium diffusissimum (Mohlenbr.) Yakovlev,tree,confirmed,18,NA,66.67,widespread,Not endemic,7,3,,,,,,,,,,
Acosmium lentiscifolium,Fabaceae,Acosmium lentiscifolium Schott,tree,confirmed,86,NA,97.71,near_endemic,Endemic,65,1,,,,,,,,,,
Acritopappus catolesensis,Asteraceae,Acritopappus catolesensis D.J.N.Hind & Bautista,tree,probable occurrence in the AF,13,,,,,,,,,,,,,,,,
Acritopappus confertus,Asteraceae,Acritopappus confertus (Gardner) R.M.King & H.Rob.,shrub,new to AF,169,NA,47.77,widespread,Not in the AF,19,20,,,,,,,,,,
Acritopappus connatifolius,Asteraceae,Acritopappus connatifolius (Soar.Nunes) R.M.King & H.Rob.,shrub,new to AF,15,NA,75.0,widespread,Not in the AF,5,0,,,,,,,,,,
Acritopappus heterolepis,Asteraceae,Acritopappus heterolepis (Baker) R.M.King & H.Rob.,tree,new to AF,71,NA,61.4,widespread,Not in the AF,11,0,,,,,,,,,,
Acritopappus irwinii,Asteraceae,Acritopappus irwinii R.M.King & H.Rob.,shrub,probable occurrence in the AF,14,,,,,,,,,,,,,,,,
Acritopappus prunifolius,Asteraceae,Acritopappus prunifolius R.M.King & H.Rob.,tree,new to AF,13,NA,45.45,widespread,Not in the AF,1,0,,,,,,,,,,
Acritopappus subtomentosus,Asteraceae,Acritopappus subtomentosus R.M.King & H.Rob.,tree?,probable occurrence in the AF,6,,,,,,,,,,,,,,,,
Acritopappus teixeirae,Asteraceae,Acritopappus teixeirae R.M.King & H.Rob.,shrub,probable occurrence in the AF,3,,,,,,,,,,,,,,,,
Acrocomia aculeata,Arecaceae,Acrocomia aculeata (Jacq.) Lodd. ex Mart.,tree,confirmed,246,NA,12.64,widespread,Not endemic,13,118,,,,food | ornamental,,,,,,
Acrocomia chunta,,Acrocomia chunta,,in AR list but not in AF checklist,0,,,,,,,,Endangered,,,,,,,,
Acrocomia hassleri,,Acrocomia hassleri,,in PY threat list but not in AF checklist,0,,,,,,,amenazada,,,,,,,,,
Acrocomia intumescens,Arecaceae,Acrocomia intumescens Drude,tree,confirmed,12,NA,85.71,widespread,Endemic,7,0,,,,,,,,,,
Acrocomia totai,,Acrocomia totai,,in AR list but not in AF checklist,0,,,,,,,,Endangered,,,,yes,GBIF|iNat,10,Macaúba,
Actinocladum verticillatum,Poaceae,Actinocladum verticillatum (Nees) McClure ex Soderstr.,tree,new to AF,105,NA,5.62,occasional,Not in the AF,4,72,,,,,,,,,,
Actinostemon appendiculatus,Euphorbiaceae,Actinostemon appendiculatus Jabl.,tree,confirmed,26,NA,100.0,pure_endemic,Endemic,21,0,,,,,,,,,,
Actinostemon concepcionis,Euphorbiaceae,Actinostemon concepcionis (Chodat & Hassl.) Hochr.,tree,confirmed,121,NA,50.56,widespread,Not endemic,49,48,,,,,,,,,,
Actinostemon concolor,Euphorbiaceae,Actinostemon concolor (Spreng.) Mull.Arg.,tree,confirmed,500,NA,78.54,widespread,Not endemic,332,68,,,,,,,,,,
Actinostemon echinatus,Euphorbiaceae,Actinostemon echinatus Mull.Arg.,tree,confirmed,10,NA,100.0,pure_endemic,Endemic,7,0,,,,,,,,,,
Actinostemon klotzschii,Euphorbiaceae,Actinostemon klotzschii (Didr.) Pax,tree,confirmed,258,NA,89.27,near_endemic,Not endemic,181,18,,,,,,,,,,
Actinostemon roselii,Euphorbiaceae,"Actinostemon roselii L. Oliveira, A.L. Melo & M.F. Sales",tree,confirmed,16,NA,100.0,pure_endemic,Endemic,7,0,,,,,,,,,,
Actinostemon verticillatus,Euphorbiaceae,Actinostemon verticillatus (Klotzsch) Baill.,tree,confirmed,144,NA,93.06,near_endemic,Endemic,126,8,,,,,,,,,,
Adelia membranifolia,Euphorbiaceae,Adelia membranifolia (Mull.Arg.) Chodat & Hassl.,tree,confirmed,53,NA,31.58,widespread,Endemic,8,16,,,,,,,,,,
Adenocalymma subsessilifolium,Bignoniaceae,Adenocalymma subsessilifolium DC.,shrub,confirmed,26,NA,100.0,pure_endemic,Endemic,13,0,,,,,,,,,,
Adenophaedra megalophylla,Euphorbiaceae,Adenophaedra megalophylla (Mull.Arg.) Mull.Arg.,tree,confirmed,51,NA,100.0,pure_endemic,Endemic,46,2,,,,,,,,,,
Adesmia macrostachya,,Adesmia macrostachya,,in AR list but not in AF checklist,0,,,,,,,,,"cat3: Plantas comunes, aunque no abundantes en una o más de las unidades fitogeo",,,,,,,
Adesmia trijuga,,Adesmia trijuga,,in AR list but not in AF checklist,0,,,,,,,,,"cat2: Plantas abundantes, presentes en sólo una de las grandes unidades fitogeog",,,,,,,
Aegiphila australis,Lamiaceae,Aegiphila australis Moldenke,tree,confirmed,7,NA,100.0,pure_endemic,Endemic,5,0,,,,,,,,,,
Aegiphila brachiata,Lamiaceae,Aegiphila brachiata Vell.,tree,confirmed,185,NA,69.18,widespread,Endemic,114,26,,,,,,,,,,
Aegiphila fluminensis,Lamiaceae,Aegiphila fluminensis Vell.,tree,confirmed,58,NA,98.73,near_endemic,Endemic,57,0,,,,,,,,,,
Aegiphila graveolens,Lamiaceae,Aegiphila graveolens Mart. & Schauer,shrub,confirmed,26,NA,88.57,near_endemic,Endemic,15,1,,,,,,,,,,
Aegiphila integrifolia,Lamiaceae,Aegiphila integrifolia (Jacq.) Moldenke,tree,confirmed,810,NA,42.29,widespread,Not endemic,312,350,,,,,,,,,,
Aegiphila laevis,Lamiaceae,Aegiphila laevis (Aubl.) Gmel.,shrub,confirmed,132,NA,16.0,widespread,Not endemic,8,97,,,,,,,,,,
Aegiphila luschnathii,Lamiaceae,Aegiphila luschnathii Schauer,tree,confirmed,30,NA,100.0,pure_endemic,Not endemic,11,0,,,,,,,,,,
Aegiphila mediterranea,Lamiaceae,Aegiphila mediterranea Vell.,tree,confirmed,104,NA,93.18,near_endemic,Endemic,75,4,,,,,,,,,,
Aegiphila novofriburgensis,Lamiaceae,Aegiphila novofriburgensis Moldenke,shrub,confirmed,5,NA,100.0,pure_endemic,Endemic,3,0,,,,,,,,,,
Aegiphila obducta,Lamiaceae,Aegiphila obducta Vell.,tree,confirmed,176,NA,98.63,near_endemic,Not endemic,160,1,,,,,,,,,,
Aegiphila pernambucensis,Lamiaceae,Aegiphila pernambucensis Moldenke,tree,confirmed,45,NA,94.87,near_endemic,Endemic,29,1,,,,,,,,,,
Aegiphila racemosa,Lamiaceae,Aegiphila racemosa Vell.,shrub,confirmed,63,NA,17.12,widespread,Not endemic,10,48,,,,,,,,,,
Aegiphila riedeliana,Lamiaceae,Aegiphila riedeliana Schauer,tree,confirmed,17,NA,63.64,widespread,Endemic,7,1,,,,,,,,,,
Aegiphila verticillata,Lamiaceae,Aegiphila verticillata Vell.,tree,confirmed,697,NA,43.61,widespread,Not endemic,193,259,,,,,,,,,,
Aegiphila vitelliniflora,Lamiaceae,Aegiphila vitelliniflora Walp.,tree,confirmed,235,NA,54.24,widespread,Not endemic,90,73,,,,,,,,,,
Aenigmatanthera lasiandra,Malpighiaceae,Aenigmatanthera lasiandra (A.Juss.) W.R.Anderson,shrub,new to AF,131,NA,0.86,occasional,Not in the AF,1,117,,,,,,,,,,
Aeschynomene ciliata,Fabaceae,Aeschynomene ciliata Vogel,shrub,confirmed,87,NA,24.78,widespread,Not endemic,14,49,,,,,,,,,,
Aeschynomene mollicula,Fabaceae,Aeschynomene mollicula Kunth,tree,confirmed,152,NA,21.86,widespread,Not endemic,19,85,,,,,,,,,,
Aeschynomene monteiroi,Fabaceae,Aeschynomene monteiroi Afr.Fern. & P.Bezerra,shrub,probable occurrence in the AF,59,,,,,,,,,,,,,,,,
Aeschynomene sensitiva,Fabaceae,Aeschynomene sensitiva Sw.,shrub,confirmed,476,NA,18.5,widespread,Not endemic,67,306,,,,,,,,,,
Agarista chapadensis,Ericaceae,Agarista chapadensis (Kin.-Gouv.) Judd,tree,probable occurrence in the AF,18,,,,,,,,,,,,,,,,
Agarista coriifolia,Ericaceae,Agarista coriifolia (Thunb.) Hook. ex Nied.,shrub,new to AF,188,NA,48.45,widespread,Not in the AF,37,22,,,,,,,,,,
Agarista eucalyptoides,Ericaceae,Agarista eucalyptoides (Cham. & Schltdl.) G.Don,tree,confirmed,93,NA,47.92,widespread,Not endemic,17,9,,,,,,,,,,
Agarista glaberrima,Ericaceae,Agarista glaberrima (Sleumer) Judd,shrub,new to AF,100,NA,40.71,widespread,Not in the AF,28,31,,,,,,,,,,
Agarista minensis,Ericaceae,Agarista minensis (Glaz. ex Sleumer) Judd,tree,confirmed,8,NA,100.0,pure_endemic,Endemic,7,0,,,,,,,,,,
Agarista niederleinii,Ericaceae,Agarista niederleinii (Sleumer) Judd,tree,confirmed,119,NA,95.76,near_endemic,Endemic,104,3,,,,,,,,,,
Agarista oleifolia,Ericaceae,Agarista oleifolia (Cham.) G.Don,tree,confirmed,316,NA,71.51,widespread,Not endemic,126,47,,,,,,,,,,
Agarista pulchella,Ericaceae,Agarista pulchella Cham. ex G.Don,shrub,confirmed,88,NA,74.55,widespread,Not endemic,52,13,,,,,,,,,,
Agarista pulchra,Ericaceae,Agarista pulchra (Cham. & Schltdl.) G.Don,shrub,confirmed,78,NA,83.82,widespread,Not endemic,27,1,,,,,,,,,,
Agarista revoluta,Ericaceae,Agarista revoluta (Spreng.) J.D. Hook. ex Nied.,tree,confirmed,132,NA,95.38,near_endemic,Endemic,80,2,,,,,,,,,,
Agarista uleana,Ericaceae,Agarista uleana (Sleumer) Judd,shrub,confirmed,26,NA,100.0,pure_endemic,Endemic,24,0,,,,,,,,,,
Agonandra excelsa,Opiliaceae,Agonandra excelsa Griseb.,tree,confirmed,178,NA,51.79,widespread,Not endemic,63,57,,,,,,,,,,
Agonandra fluminensis,Opiliaceae,Agonandra fluminensis Rizzini & Occhioni,tree,confirmed,3,NA,100.0,pure_endemic,Endemic,3,0,,,,,,,,,,
Aiouea acarodomatifera,Lauraceae,Aiouea acarodomatifera Kosterm.,tree,confirmed,46,NA,100.0,pure_endemic,Endemic,44,0,,,,,,,,,,
Aiouea glaziovii,Lauraceae,Aiouea glaziovii (Mez) R.Rohde,tree,new to AF,48,NA,98.73,near_endemic,NA,45,1,,,,,,,,,,
Aiouea hirsuta,Lauraceae,Aiouea hirsuta Lorea-Hern.,tree,new to AF,8,NA,100.0,pure_endemic,NA,8,0,,,,,,,,,,
Aiouea laevis,Lauraceae,Aiouea laevis (Mart.) Kosterm.,tree,confirmed,64,NA,14.29,widespread,Not endemic,3,20,,,,,,,,,,
Aiouea montana,Lauraceae,Aiouea montana (Sw.) R. Rohde,tree,new to AF,95,NA,78.61,widespread,NA,67,18,,,,,,,,,,
Aiouea pseudoglaziovii,Lauraceae,Aiouea pseudoglaziovii Lorea-Hern.,tree,new to AF,69,NA,100.0,pure_endemic,NA,62,0,,,,,,,,,,
Aiouea rubrinervia,Lauraceae,Aiouea rubrinervia Lorea-Hern.,tree,new to AF,11,NA,80.0,widespread,NA,4,1,,,,,,,,,,
Aiouea saligna,Lauraceae,Aiouea saligna Meisn.,tree,confirmed,302,NA,84.71,widespread,Not endemic,191,25,,,,,,,,,,
Aiouea trinervis,Lauraceae,Aiouea trinervis Meisn.,tree,new to AF,267,NA,9.37,occasional,Not in the AF,17,174,,,,,,,,,,
Aiphanes horrida,Arecaceae,Aiphanes horrida (Jacq.) Burret,tree,new to AF,86,cultivated,4.55,occasional,Not in the AF,2,45,,,,ornamental,,,,,,
Akrosida macrophylla,Malvaceae,Akrosida macrophylla (Ulbr.) Fryxell & Fuertes,tree,confirmed,7,NA,100.0,pure_endemic,Endemic,3,0,,,,,,,,,,
Alatococcus siqueirae,Sapindaceae,Alatococcus siqueirae Acev.-Rodr.,tree,confirmed,3,NA,100.0,pure_endemic,Endemic,3,0,,,,,,,,,,
Albertinia brasiliensis,Asteraceae,Albertinia brasiliensis Spreng.,shrub,confirmed,137,NA,88.17,widespread,Not endemic,80,5,,,,,,,,,,
Albizia burkartiana,Fabaceae,Albizia burkartiana Barneby & J.W.Grimes,tree,confirmed,1,NA,100.0,pure_endemic,Endemic,1,0,,,,,,,,,,
Albizia duckeana,Fabaceae,Albizia duckeana L.Rico,tree,new to AF,43,NA,16.67,widespread,Not in the AF,6,30,,,,,,,,,,
Albizia edwallii,Fabaceae,Albizia edwallii (Hoehne) Barneby & J.W.Grimes,tree,confirmed,83,NA,91.89,near_endemic,Endemic,62,3,,,,,,,,,,
Albizia inundata,Fabaceae,Albizia inundata (Mart.) Barneby & J.W.Grimes,tree,confirmed,266,NA,4.04,occasional,Not endemic,7,173,,,,,,,,,,
Albizia niopoides,Fabaceae,Albizia niopoides (Spruce ex Benth.) Burkart,tree,confirmed,391,NA,21.61,widespread,Not endemic,52,192,,,,,,,,,,
Albizia pedicellaris,Fabaceae,Albizia pedicellaris (DC.) L.Rico,tree,confirmed,430,NA,66.98,widespread,Not endemic,223,112,,,,timber,yes,,,,,
Albizia polycephala,Fabaceae,Albizia polycephala (Benth.) Killip ex Record,tree,confirmed,379,NA,67.62,widespread,Not endemic,191,86,,,,,,,,,,
Alchornea castaneifolia,Euphorbiaceae,Alchornea castaneifolia (Willd.) A.Juss.,tree,new to AF,45,NA,9.43,occasional,Not in the AF,2,27,,,,,,,,,,
Alchornea discolor,Euphorbiaceae,Alchornea discolor Poepp.,tree,confirmed,251,NA,0.56,occasional,Not endemic,1,210,,,,,,,,,,
Alchornea glandulosa,Euphorbiaceae,Alchornea glandulosa Poepp. & Endl.,tree,confirmed,549,NA,38.56,widespread,Not endemic,208,234,,,,,,,,,,
Alchornea sidifolia,Euphorbiaceae,Alchornea sidifolia Mull.Arg.,tree,confirmed,132,NA,98.25,near_endemic,Endemic,102,1,,,,,,,,,,
Alchornea triplinervia,Euphorbiaceae,Alchornea triplinervia (Spreng.) Mull.Arg.,tree,confirmed,958,NA,54.99,widespread,Not endemic,451,221,,,,timber,yes,yes,GBIF,21,Gakamenewe,
Algernonia bahiensis,Euphorbiaceae,Algernonia bahiensis (Emmerich) G.L.Webster,tree,confirmed,6,NA,100.0,pure_endemic,Endemic,6,0,,,,,,,,,,
Algernonia brasiliensis,Euphorbiaceae,Algernonia brasiliensis Baill.,tree,confirmed,29,NA,100.0,pure_endemic,Endemic,26,0,,,,,,,,,,
Algernonia dimitrii,Euphorbiaceae,Algernonia dimitrii (Emmerich) G.L.Webster,shrub,confirmed,7,NA,100.0,pure_endemic,Endemic,6,0,,,,,,,,,,
Algernonia gibbosa,Euphorbiaceae,Algernonia gibbosa (Pax & K.Hoffm.) Emmerich,tree,probable occurrence in the AF,1,,,,,,,,,,,,,,,,
Algernonia glazioui,Euphorbiaceae,Algernonia glazioui Emmerich,tree,confirmed,4,NA,100.0,pure_endemic,Endemic,4,0,,,,,,,,,,
Algernonia kuhlmannii,Euphorbiaceae,Algernonia kuhlmannii (Emmerich) G.L.Webster,tree,confirmed,3,NA,100.0,pure_endemic,Endemic,2,0,,,,,,,,,,
Algernonia leandrii,Euphorbiaceae,Algernonia leandrii (Baill.) G.L.Webster,tree,confirmed,46,NA,100.0,pure_endemic,Endemic,37,0,,,,,,,,,,
Algernonia obovata,Euphorbiaceae,Algernonia obovata (Mull.Arg.) Mull.Arg.,tree,confirmed,13,NA,95.24,near_endemic,Endemic,12,0,,,,,,,,,,
Algernonia pardina,Euphorbiaceae,Algernonia pardina Croizat,tree,new to AF,6,NA,100.0,pure_endemic,NA,6,0,,,,,,,,,,
Algernonia paulae,Euphorbiaceae,Algernonia paulae Emmerich,tree,confirmed,4,NA,100.0,pure_endemic,Endemic,4,0,,,,,,,,,,
Algernonia riedelii,Euphorbiaceae,Algernonia riedelii (Mull.Arg.) G.L.Webster,tree,confirmed,11,NA,100.0,pure_endemic,Endemic,6,0,,,,,,,,,,
Algrizea minor,Myrtaceae,Algrizea minor Sobral et al.,shrub,new to AF,29,NA,11.11,widespread,Not in the AF,2,17,,,,,,,,,,
Alibertia baiana,Rubiaceae,Alibertia baiana Delprete & C.H.Perss.,tree,confirmed,23,NA,97.78,near_endemic,Endemic,22,0,,,,,,,,,,
Alibertia edulis,Rubiaceae,Alibertia edulis (Rich.) A.Rich.,tree,new to AF,1560,NA,3.36,occasional,Not in the AF,17,1240,,,,,,,,,,
Allagoptera campestris,Arecaceae,Allagoptera campestris (Mart.) Kuntze,shrub,new to AF,289,NA,15.53,widespread,Not in the AF,33,135,,Indeterminada,,,,,,,,
Allagoptera caudescens,Arecaceae,Allagoptera caudescens (Mart.) Kuntze,tree,confirmed,66,NA,100.0,pure_endemic,Endemic,61,0,,,,,,,,,,
Allamanda blanchetii,Apocynaceae,Allamanda blanchetii A.DC.,shrub,new to AF,188,cultivated,17.33,widespread,Not in the AF,20,122,,,,ornamental,,,,,,
Allenrolfea patagonica,,Allenrolfea patagonica,,in AR list but not in AF checklist,0,,,,,,,,,"cat3: Plantas comunes, aunque no abundantes en una o más de las unidades fitogeo",,,,,,,
Allenrolfea vaginata,,Allenrolfea vaginata,,in AR list but not in AF checklist,0,,,,,,,,,"cat3: Plantas comunes, aunque no abundantes en una o más de las unidades fitogeo",,,,,,,
Allophylus dioicus,Sapindaceae,Allophylus dioicus (Nees & Mart.) Radlk.,tree,confirmed,18,NA,15.38,widespread,Not endemic,1,5,,,,,,,,,,
Allophylus edulis,Sapindaceae,Allophylus edulis (A.St.-Hil. et al.) Hieron. ex Niederl.,tree,confirmed,1230,NA,71.13,widespread,Not endemic,669,273,,,,,,yes,iNat,3,cocum,
Allophylus exappendiculatus,Sapindaceae,"Allophylus exappendiculatus Somner, Frazao & Ferrucci",tree,probable occurrence in the AF,1,,,,,,,,,,,,,,,,
Allophylus guaraniticus,Sapindaceae,Allophylus guaraniticus (A. St.-Hil.) Radlk.,tree,confirmed,280,NA,87.28,widespread,Endemic,183,23,,,,,,,,,,
Allophylus heterophyllus,Sapindaceae,Allophylus heterophyllus (Cambess.) Radlk.,shrub,confirmed,63,NA,100.0,pure_endemic,Endemic,51,0,,,,,,,,,,
Allophylus leucoclados,Sapindaceae,Allophylus leucoclados Radlk.,tree,confirmed,58,NA,86.0,widespread,Endemic,44,7,,,,,,,,,,
Allophylus melanophloeus,Sapindaceae,Allophylus melanophloeus Radlk.,tree,confirmed,54,NA,100.0,pure_endemic,Endemic,42,0,,,,,,,,,,
Allophylus membranifolius,Sapindaceae,Allophylus membranifolius Radlk.,tree,confirmed,9,NA,83.33,widespread,Endemic,7,1,,,,,,,,,,
Allophylus pauciflorus,Sapindaceae,Allophylus pauciflorus Radlk.,tree,new to AF,65,NA,5.06,occasional,Not in the AF,3,43,,,,,,,,,,
Allophylus peruvianus,Sapindaceae,Allophylus peruvianus Radlk.,tree,confirmed,55,NA,6.67,occasional,Not endemic,2,33,,,,,,,,,,
Allophylus petiolulatus,Sapindaceae,Allophylus petiolulatus Radlk.,tree,confirmed,336,NA,97.3,near_endemic,Endemic,301,6,,,,,,,,,,
Allophylus puberulus,Sapindaceae,Allophylus puberulus (Cambess.) Radlk.,tree,confirmed,399,NA,86.09,widespread,Not endemic,280,44,,,,,,,,,,
Allophylus quercifolius,Sapindaceae,Allophylus quercifolius (Mart.) Radlk.,tree,new to AF,41,NA,5.45,occasional,Not in the AF,1,35,,,,,,,,,,
Allophylus racemosus,Sapindaceae,Allophylus racemosus Sw.,tree,confirmed,597,NA,49.2,widespread,Not endemic,120,387,,,,,,,,,,
Allophylus semidentatus,Sapindaceae,Allophylus semidentatus (Miq.) Radlk.,tree,confirmed,173,NA,63.12,widespread,Not endemic,79,48,,,,,,,,,,
Allophylus strictus,Sapindaceae,Allophylus strictus Radlk.,tree,new to AF,198,NA,3.26,occasional,Not in the AF,3,132,,,,,,,,,,
Alnus acuminata,,Alnus acuminata,,in AR list but not in AF checklist,0,,,,,,,,Endangered,,,,,,,,
Aloysia gratissima,Verbenaceae,Aloysia gratissima (Gillies & Hook.) Tronc.,shrub,confirmed,368,NA,16.13,widespread,Not endemic,50,234,,,,,,yes,GBIF|iNat,19,Cedrón de monte,
Aloysia oblanceolata,Verbenaceae,Aloysia oblanceolata Moldenke,shrub,confirmed,21,NA,35.29,widespread,Endemic,11,5,,,,,,,,,,
Aloysia virgata,Verbenaceae,Aloysia virgata (Ruiz & Pav.) Juss.,tree,confirmed,1908,NA,44.35,widespread,Not endemic,682,698,,,,,,yes,GBIF,30,Niño Rupá,
Alseis floribunda,Rubiaceae,Alseis floribunda Schott,tree,confirmed,292,NA,83.84,widespread,Not endemic,208,25,,,,,,,,,,
Alseis involuta,Rubiaceae,Alseis involuta K.Schum.,tree,confirmed,32,NA,100.0,pure_endemic,Not endemic,27,1,,,,,,,,,,
Alseis latifolia,Rubiaceae,Alseis latifolia Gleason,tree,confirmed,23,NA,45.0,widespread,Not endemic,6,11,,,,,,,,,,
Alseis pickelii,Rubiaceae,Alseis pickelii Pilg. & Schmale,tree,confirmed,106,NA,92.74,near_endemic,Not endemic,92,6,,,,,,,,,,
Alsophila capensis,Cyatheaceae,Alsophila capensis (L.f.) J.Sm.,tree,confirmed,62,cultivated,95.71,near_endemic,Endemic,43,1,,,,ornamental,,,,,,
