year_month,ET0_mm_sum,n_days
2014-02,154.50,28
2014-03,117.92,31
2014-04,84.31,30
2014-05,58.38,31
2014-06,41.30,30
2014-07,50.81,31
2014-08,76.75,31
2014-09,86.65,30
2014-10,139.02,31
2014-11,127.04,30
2014-12,150.66,31
2015-01,151.96,31
2015-02,129.42,28
2015-03,129.92,31
2015-04,86.16,30
2015-05,56.21,31
2015-06,46.64,30
2015-07,48.00,31
2015-08,75.83,31
2015-09,99.92,30
2015-10,119.60,31
2015-11,123.31,30
2015-12,134.47,31
2016-01,155.82,31
2016-02,126.31,29
2016-03,106.19,31
2016-04,90.87,30
2016-05,46.32,31
2016-06,44.25,30
2016-07,60.55,31
2016-08,81.59,31
2016-09,109.89,30
2016-10,133.61,31
2016-11,141.28,30
2016-12,152.24,31
2017-01,173.27,31
2017-02,134.61,28
2017-03,127.78,31
2017-04,76.59,30
2017-05,50.95,31
2017-06,46.35,30
2017-07,68.63,31
2017-08,90.92,31
2017-09,111.17,30
2017-10,123.57,31
2017-11,143.55,30
2017-12,163.05,31
2018-01,135.82,31
2018-02,135.47,28
2018-03,110.08,31
2018-04,110.86,30
2018-05,74.49,31
2018-06,49.62,30
2018-07,55.98,31
2018-08,80.78,31
2018-09,94.29,30
2018-10,105.49,31
2018-11,138.36,30
2018-12,168.87,31
2019-01,169.94,31
2019-02,146.45,28
2019-03,106.13,31
2019-04,74.47,30
2019-05,51.33,31
2019-06,51.18,30
2019-07,49.76,31
2019-08,81.91,31
2019-09,114.39,30
2019-10,145.55,31
2019-11,168.19,30
2019-12,171.57,31
2020-01,156.73,31
2020-02,152.49,29
2020-03,151.04,31
2020-04,108.79,30
2020-05,75.48,31
2020-06,61.09,30
2020-07,62.59,31
2020-08,97.90,31
2020-09,116.65,30
2020-10,166.28,31
2020-11,161.15,30
2020-12,160.57,31
2021-01,146.80,31
2021-02,133.75,28
2021-03,128.14,31
2021-04,95.03,30
2021-05,71.28,31
2021-06,50.25,30
2021-07,70.85,31
2021-08,94.66,31
2021-09,121.82,30
2021-10,129.56,31
2021-11,144.44,30
2021-12,197.35,31
2022-01,205.34,31
2022-02,157.33,28
2022-03,133.72,31
2022-04,79.45,30
2022-05,53.22,31
2022-06,39.58,30
2022-07,70.48,31
2022-08,84.70,31
2022-09,93.91,30
2022-10,118.87,31
2022-11,147.80,30
2022-12,183.37,31
2023-01,175.40,31
2023-02,141.90,28
2023-03,130.01,31
2023-04,84.76,30
2023-05,58.38,31
2023-06,56.81,30
2023-07,65.02,31
2023-08,96.12,31
2023-09,111.02,30
2023-10,134.52,31
