binomial,family,scientific_name_full,life_form,af_status,n_records_af,ornamental_or_cultivated,endemism_level_pct,endemism_group,endemism_bf2020,records_inside_af,records_outside_af,py_threat_category,ar_threat_category,ar_endemic_category,uses,is_timber,lqv_25km_documented,lqv_25km_sources,lqv_25km_occurrences,lqv_vernacular,lqv_iucn,lqv_priority_score
Ocotea percoriacea,Lauraceae,Ocotea percoriacea Kosterm.,tree,confirmed,162,NA,55.56,widespread,Not endemic,40,29,,,,,,,,,,,1
Ocotea percurrens,Lauraceae,Ocotea percurrens Vicent.,tree,confirmed,54,NA,23.53,widespread,Not endemic,8,26,,,,,,,,,,,1
Ocotea pomaderroides,Lauraceae,Ocotea pomaderroides (Meisn.) Mez,tree,new to AF,139,NA,10.53,widespread,Not in the AF,2,86,,,,,,,,,,,1
Ocotea prolifera,Lauraceae,Ocotea prolifera (Nees & Mart.) Mez,tree,confirmed,144,NA,83.4,widespread,Endemic,107,19,,,,,,,,,,,1
Ocotea pulchella,Lauraceae,Ocotea pulchella (Nees & Mart.) Mez,tree,confirmed,1601,NA,72.02,widespread,Not endemic,936,263,,,,,,,,,,,1
Ocotea rohweri,Lauraceae,Ocotea rohweri P.L.R. Moraes van der Werff,tree,confirmed,23,NA,73.08,widespread,Not endemic,3,0,,,,,,,,,,,1
Ocotea semicompleta,Lauraceae,Ocotea semicompleta (Nees & Mart.) Mez,shrub,confirmed,15,NA,54.55,widespread,Not endemic,3,2,,,,,,,,,,,1
Ocotea spectabilis,Lauraceae,Ocotea spectabilis (Meisn.) Mez,tree,confirmed,79,NA,76.0,widespread,Not endemic,43,16,,,,,,,,,,,1
Ocotea spixiana,Lauraceae,Ocotea spixiana (Nees) Mez,tree,new to AF,233,NA,26.36,widespread,Not in the AF,43,132,,,,,,,,,,,1
Ocotea splendens,Lauraceae,Ocotea splendens (Meisn.) Baill.,tree,new to AF,149,NA,0.88,occasional,Not in the AF,1,116,,,,,,,,,,,1
Ocotea tabacifolia,Lauraceae,Ocotea tabacifolia (Meisn.) Rohwer,tree,confirmed,94,NA,72.3,widespread,Not endemic,54,19,,,,,,,,,,,1
Ocotea tristis,Lauraceae,Ocotea tristis (Nees & Mart.) Mez,tree,confirmed,552,NA,64.79,widespread,Not endemic,235,85,,,,,,,,,,,1
Ocotea vegrandis,Lauraceae,Ocotea vegrandis P.L.R. Moraes et van der Werff,tree,new to AF,16,NA,85.0,widespread,Not in the AF,5,0,,,,,,,,,,,1
Ocotea velloziana,Lauraceae,Ocotea velloziana (Meisn.) Mez,tree,confirmed,352,NA,32.95,widespread,Not endemic,74,161,,,,,,,,,,,1
Ocotea velutina,Lauraceae,Ocotea velutina (Nees) Rohwer,tree,confirmed,191,NA,48.84,widespread,Not endemic,47,49,,,,,,,,,,,1
Ocotea virgultosa,Lauraceae,Ocotea virgultosa (Nees) Mart.,tree,confirmed,22,NA,70.0,widespread,Not endemic,14,6,,,,,,,,,,,1
Ormosia arborea,Fabaceae,Ormosia arborea (Vell.) Harms,tree,confirmed,198,NA,83.03,widespread,Not endemic,141,24,,,,,,,,,,,1
Ormosia bahiensis,Fabaceae,Ormosia bahiensis Monach.,tree,confirmed,29,NA,48.57,widespread,Not endemic,9,6,,,,,,,,,,,1
Ormosia coarctata,Fabaceae,Ormosia coarctata Jacq.,tree,new to AF,72,NA,5.71,occasional,Not in the AF,2,41,,,,,,,,,,,1
Ormosia fastigiata,Fabaceae,Ormosia fastigiata Tul.,tree,confirmed,110,NA,49.36,widespread,Not endemic,38,38,,,,,,,,,,,1
Ormosia monosperma,Fabaceae,Ormosia monosperma (Sw.) Urb.,tree?,not in the BF.2020,15,NA,25.0,widespread,NA,2,3,,,,,,,,,,,1
Ormosia ruddiana,Fabaceae,Ormosia ruddiana Yakovlev,tree,probable occurrence in the AF,2,,,,,,,,,,,,,,,,,1
Oxandra espintana,Annonaceae,Oxandra espintana (Spruce ex Benth.) Baill.,tree,new to AF,78,NA,55.56,widespread,Not in the AF,35,29,,,,,,,,,,,1
Oxandra reticulata,Annonaceae,Oxandra reticulata Maas,tree,confirmed,63,NA,19.51,widespread,Not endemic,5,38,,,,,,,,,,,1
Pagamea coriacea,Rubiaceae,Pagamea coriacea Spruce ex Benth.,tree,new to AF,221,NA,0.59,occasional,Not in the AF,1,188,,,,,,,,,,,1
Pagamea guianensis,Rubiaceae,Pagamea guianensis Aubl.,tree,confirmed,424,NA,22.86,widespread,Not endemic,81,295,,,,,,,,,,,1
Pagamea plicata,Rubiaceae,Pagamea plicata Spruce ex Benth.,tree,new to AF,73,NA,7.27,occasional,Not in the AF,2,53,,,,,,,,,,,1
Palicourea acuminata,Rubiaceae,Palicourea acuminata (Benth.) Borhidi,shrub,new to AF,31,NA,4.0,occasional,Not in the AF,1,24,,,,,,,,,,,1
Palicourea brevicollis,Rubiaceae,Palicourea brevicollis (Mull.Arg.) C.M.Taylor,tree,confirmed,234,NA,87.17,widespread,Endemic,135,19,,,,,,,,,,,1
Palicourea calophylla,Rubiaceae,Palicourea calophylla DC.,tree,confirmed,105,NA,2.27,occasional,Not endemic,2,87,,,,,,,,,,,1
Palicourea crocea,Rubiaceae,Palicourea crocea (Sw.) Roem. & Schult.,tree,new to AF,978,NA,15.17,widespread,Not in the AF,99,550,,,,,,,,,,,1
Palicourea croceoides,Rubiaceae,Palicourea croceoides Ham.,shrub,confirmed,894,NA,10.88,widespread,Not endemic,70,558,,,,,,,,,,,1
Palicourea grandifolia,Rubiaceae,Palicourea grandifolia (Willd. ex Roem. & Schult.) Standl.,tree,new to AF,158,NA,2.88,occasional,Not in the AF,3,114,,,,,,,,,,,1
Palicourea guianensis,Rubiaceae,Palicourea guianensis Aubl.,tree,confirmed,1448,NA,12.11,widespread,Not endemic,129,1023,,,,,,,,,,,1
Palicourea longiflora,Rubiaceae,Palicourea longiflora DC.,tree,new to AF,310,NA,0.57,occasional,Not in the AF,1,267,,,,,,,,,,,1
Palicourea macrobotrys,Rubiaceae,Palicourea macrobotrys (Ruiz & Pav.) Schult.,tree,confirmed,265,NA,32.93,widespread,Not endemic,86,139,,,,,,,,,,,1
Palicourea marcgravii,Rubiaceae,Palicourea marcgravii A.St.-Hil.,shrub,confirmed,1287,NA,53.99,widespread,Not endemic,514,457,,,,,,,,,,,1
Palicourea paniculata,Rubiaceae,Palicourea paniculata (Aubl.) P.L.R.Moraes & C.M.Taylor,tree,new to AF,191,NA,0.83,occasional,Not in the AF,1,122,,,,,,,,,,,1
Palicourea quadrifolia,Rubiaceae,Palicourea quadrifolia (Rudge) DC.,tree,new to AF,138,NA,0.85,occasional,Not in the AF,1,120,,,,,,,,,,,1
Palicourea racemosa,Rubiaceae,Palicourea racemosa (Aubl.) Borhidi,tree,confirmed,1451,NA,9.78,occasional,Not endemic,115,1085,,,,,,,,,,,1
Palicourea rigida,Rubiaceae,Palicourea rigida Kunth,tree,confirmed,1070,NA,15.63,widespread,Not endemic,89,676,,,,,,,,,,,1
Palicourea subcuspidata,Rubiaceae,Palicourea subcuspidata (MÃ¼ll.Arg.) C.M.Taylor,shrub?,new to AF,167,NA,12.98,widespread,NA,17,113,,,,,,,,,,,1
Palicourea triphylla,Rubiaceae,Palicourea triphylla DC.,shrub,new to AF,526,NA,0.51,occasional,Not in the AF,2,415,,,,,,,,,,,1
Parapiptadenia blanchetii,Fabaceae,Parapiptadenia blanchetii (Benth.) Vaz & M.P.Lima,tree,confirmed,40,NA,70.0,widespread,Not endemic,12,7,,,,,,,,,,,1
Parapiptadenia zehntneri,Fabaceae,Parapiptadenia zehntneri (Harms) M.P.Lima & H.C.Lima,tree,new to AF,181,NA,4.05,occasional,Not in the AF,4,147,,,,,,,,,,,1
