tree_id,lon,lat,canopy_height_m,estimated_dbh_cm,species_category,elevation_m,aspect,sun_exposure,tree_cover_2000_pct,slope_pct
T0047,-57.035138888871735,-25.635694444460047,16.0,39.8,Mature canopy (Yvyra pytá/Petereby),150.0,225.0,SW (partial),0.0,0.1
T0048,-57.03736111109396,-25.635972222237825,16.9,44.3,Mature canopy (Yvyra pytá/Petereby),145.0,236.0,SW (partial),0.0,0.4
T0049,-57.03458333331618,-25.637083333348937,18.4,52.0,Mature canopy (Yvyra pytá/Petereby),146.0,103.0,E (morning),0.0,0.5
T0050,-57.02319444442729,-25.63763888890449,14.8,34.2,Subcanopy (various native hardwoods),146.0,131.0,SE (partial),0.0,0.5
T0051,-57.040694444427295,-25.63930555557116,10.0,19.9,Understory (palm/ingá),146.0,189.0,S (low),0.0,0.3
T0052,-57.0218055555384,-25.63930555557116,13.0,29.1,Subcanopy (various native hardwoods),144.0,225.0,SW (partial),0.0,0.2
T0053,-57.01513888887173,-25.639583333348934,11.6,24.7,Subcanopy (various native hardwoods),150.0,297.0,NW (good),0.0,0.2
T0054,-57.037916666649515,-25.639861111126713,15.6,38.0,Mature canopy (Yvyra pytá/Petereby),151.0,157.0,SE (partial),0.0,0.8
T0055,-57.03597222220507,-25.64013888890449,17.2,46.2,Mature canopy (Yvyra pytá/Petereby),136.0,108.0,E (morning),0.0,0.5
T0056,-57.02041666664951,-25.64152777779338,15.4,36.8,Mature canopy (Yvyra pytá/Petereby),143.0,193.0,S (low),0.0,0.5
