species,kingdom,family,genus,decimalLatitude,decimalLongitude,year,basisOfRecord,occurrenceID,license
Myiopsitta monachus,Animalia,Psittacidae,Myiopsitta,-25.335,-57.5261,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/333572138,http://creativecommons.org/licenses/by/4.0/legalcode
Commelina erecta,Plantae,Commelinaceae,Commelina,-25.260084,-57.576457,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/333430851,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Molothrus bonariensis,Animalia,Icteridae,Molothrus,-25.1718,-57.4808,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/333040687,http://creativecommons.org/licenses/by/4.0/legalcode
Diabrotica speciosa,Animalia,Chrysomelidae,Diabrotica,-27.325332,-55.85513,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/335087422,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Paratrechina longicornis,Animalia,Formicidae,Paratrechina,-25.3354,-57.5261,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/333920979,http://creativecommons.org/licenses/by/4.0/legalcode
Chromacris speciosa,Animalia,Romaleidae,Chromacris,-25.310962,-57.601792,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/335194069,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Thaumatophyllum tweedieanum,Plantae,Araceae,Thaumatophyllum,-25.304179,-57.384065,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/336018756,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Furnarius rufus,Animalia,Furnariidae,Furnarius,-25.3401,-57.517,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/333880115,http://creativecommons.org/licenses/by/4.0/legalcode
Anartia jatrophae,Animalia,Nymphalidae,Anartia,-27.22163,-56.149923,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/333865377,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Conocephalus longipes,Animalia,Tettigoniidae,Conocephalus,-25.3324,-57.5283,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/334467161,http://creativecommons.org/licenses/by/4.0/legalcode
Paroaria coronata,Animalia,Thraupidae,Paroaria,-25.3383,-57.5258,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/335628048,http://creativecommons.org/licenses/by/4.0/legalcode
Anartia jatrophae,Animalia,Nymphalidae,Anartia,-25.3337,-57.5252,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/334905656,http://creativecommons.org/licenses/by/4.0/legalcode
Justicia brasiliana,Plantae,Acanthaceae,Justicia,-26.219589,-56.011917,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/335541256,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Solanum sisymbriifolium,Plantae,Solanaceae,Solanum,-25.241091,-57.501143,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/335602746,http://creativecommons.org/licenses/by-nc/4.0/legalcode
